start_time,end_time,goes_class
2014-10-20 09:00:00,2014-10-20 09:20:00,M3.9
2014-10-20 16:00:00,2014-10-20 16:55:00,M4.5
2014-10-20 18:55:00,2014-10-20 19:04:00,M1.4
2014-10-20 19:53:00,2014-10-20 20:13:00,M1.7
2014-10-20 22:43:00,2014-10-20 23:13:00,M1.2
2014-10-22 01:16:00,2014-10-22 02:28:00,M8.7
2014-10-22 05:11:00,2014-10-22 05:21:00,M2.7
2014-10-23 09:44:00,2014-10-23 09:56:00,M1.1
2014-10-24 07:37:00,2014-10-24 07:53:00,M4.0
2014-10-26 17:08:00,2014-10-26 17:30:00,M1.0
2014-10-26 18:07:00,2014-10-26 18:20:00,M4.2
2014-10-26 18:43:00,2014-10-26 18:56:00,M1.9
